Date,Time,Open,High,Low,Close,Volume
2015.08.06,17:15,1.55068,1.55107,1.55060,1.55107,502
2015.08.06,17:20,1.55111,1.55129,1.55073,1.55102,515
2015.08.06,17:25,1.55096,1.55126,1.55059,1.55060,410
2015.08.06,17:30,1.55062,1.55096,1.55062,1.55073,395
2015.08.06,17:35,1.55073,1.55073,1.54993,1.54993,484
2015.08.06,17:40,1.54993,1.55087,1.54992,1.55079,464
2015.08.06,17:45,1.55077,1.55130,1.55075,1.55115,409
2015.08.06,17:50,1.55115,1.55127,1.55062,1.55127,283
2015.08.06,17:55,1.55126,1.55220,1.55126,1.55175,440
2015.08.06,18:00,1.55176,1.55183,1.55125,1.55149,220
2015.08.06,18:05,1.55148,1.55206,1.55140,1.55178,348
2015.08.06,18:10,1.55178,1.55232,1.55172,1.55191,401
2015.08.06,18:15,1.55191,1.55228,1.55133,1.55135,368
2015.08.06,18:20,1.55135,1.55152,1.55106,1.55142,430
2015.08.06,18:25,1.55142,1.55155,1.55091,1.55153,301
2015.08.06,18:30,1.55152,1.55196,1.55152,1.55191,234
2015.08.06,18:35,1.55192,1.55276,1.55190,1.55271,288
2015.08.06,18:40,1.55272,1.55272,1.55196,1.55208,151
2015.08.06,18:45,1.55207,1.55242,1.55199,1.55203,249
2015.08.06,18:50,1.55202,1.55214,1.55188,1.55191,251
2015.08.06,18:55,1.55192,1.55316,1.55170,1.55315,358
2015.08.06,19:00,1.55315,1.55319,1.55217,1.55220,265
2015.08.06,19:05,1.55222,1.55229,1.55156,1.55187,264
2015.08.06,19:10,1.55186,1.55187,1.55131,1.55160,288
2015.08.06,19:15,1.55159,1.55159,1.55102,1.55105,143
2015.08.06,19:20,1.55105,1.55142,1.55105,1.55133,216
2015.08.06,19:25,1.55131,1.55134,1.55105,1.55121,177
2015.08.06,19:30,1.55120,1.55130,1.55084,1.55085,235
2015.08.06,19:35,1.55083,1.55106,1.55076,1.55103,224
2015.08.06,19:40,1.55102,1.55146,1.55102,1.55145,186
2015.08.06,19:45,1.55144,1.55164,1.55113,1.55113,203
2015.08.06,19:50,1.55114,1.55144,1.55114,1.55136,89
2015.08.06,19:55,1.55136,1.55136,1.55094,1.55115,243
2015.08.06,20:00,1.55114,1.55118,1.55095,1.55100,126
2015.08.06,20:05,1.55102,1.55104,1.55079,1.55083,139
2015.08.06,20:10,1.55082,1.55095,1.55056,1.55069,178
2015.08.06,20:15,1.55069,1.55084,1.55053,1.55063,236
2015.08.06,20:20,1.55065,1.55097,1.55065,1.55092,170
2015.08.06,20:25,1.55092,1.55094,1.55066,1.55069,158
2015.08.06,20:30,1.55070,1.55089,1.55069,1.55073,125
2015.08.06,20:35,1.55071,1.55090,1.55071,1.55072,168
2015.08.06,20:40,1.55073,1.55149,1.55073,1.55143,248
2015.08.06,20:45,1.55142,1.55148,1.55120,1.55140,146
2015.08.06,20:50,1.55141,1.55185,1.55133,1.55163,136
2015.08.06,20:55,1.55161,1.55190,1.55138,1.55138,197
2015.08.06,21:00,1.55138,1.55172,1.55123,1.55163,200
2015.08.06,21:05,1.55164,1.55193,1.55161,1.55164,120
2015.08.06,21:10,1.55164,1.55174,1.55158,1.55173,91
2015.08.06,21:15,1.55170,1.55223,1.55164,1.55200,195
2015.08.06,21:20,1.55200,1.55224,1.55186,1.55219,207
2015.08.06,21:25,1.55217,1.55225,1.55183,1.55183,207
2015.08.06,21:30,1.55182,1.55200,1.55179,1.55193,166
2015.08.06,21:35,1.55192,1.55218,1.55191,1.55203,134
2015.08.06,21:40,1.55206,1.55206,1.55172,1.55191,132
2015.08.06,21:45,1.55191,1.55199,1.55184,1.55198,142
2015.08.06,21:50,1.55201,1.55201,1.55174,1.55188,150
2015.08.06,21:55,1.55187,1.55203,1.55181,1.55202,235
2015.08.06,22:00,1.55197,1.55197,1.55171,1.55171,226
2015.08.06,22:05,1.55171,1.55177,1.55165,1.55177,58
2015.08.06,22:10,1.55174,1.55175,1.55169,1.55173,52
2015.08.06,22:15,1.55172,1.55176,1.55148,1.55156,154
2015.08.06,22:20,1.55149,1.55152,1.55130,1.55136,83
2015.08.06,22:25,1.55136,1.55145,1.55133,1.55136,77
2015.08.06,22:30,1.55133,1.55137,1.55108,1.55121,156
2015.08.06,22:35,1.55124,1.55127,1.55104,1.55108,313
2015.08.06,22:40,1.55108,1.55117,1.55108,1.55114,87
2015.08.06,22:45,1.55114,1.55121,1.55110,1.55113,141
2015.08.06,22:50,1.55112,1.55126,1.55109,1.55124,203
2015.08.06,22:55,1.55123,1.55125,1.55085,1.55085,201
2015.08.06,23:00,1.55111,1.55112,1.55095,1.55111,49
2015.08.06,23:05,1.55111,1.55113,1.55107,1.55111,15
2015.08.06,23:10,1.55108,1.55119,1.55108,1.55112,48
2015.08.06,23:15,1.55109,1.55121,1.55109,1.55119,18
2015.08.06,23:20,1.55113,1.55121,1.55113,1.55121,24
2015.08.06,23:25,1.55121,1.55121,1.55113,1.55119,31
2015.08.06,23:30,1.55119,1.55124,1.55113,1.55116,11
2015.08.06,23:35,1.55117,1.55164,1.55115,1.55147,74
2015.08.06,23:40,1.55148,1.55162,1.55132,1.55145,291
